,cluster_score,CPI_v3,CPI_technique,proxy_label
0,,59.4,66.0,1
1,72.14641608295264,61.1,62.3,-1
2,65.50968207801343,25.0,23.0,0
3,,59.9,64.8,-1
4,,62.7,66.9,1
5,,60.5,66.0,1
6,59.770463786437766,25.0,25.3,0
7,,61.5,67.4,1
8,,58.2,65.3,-1
9,38.39159401513055,37.7,42.8,-1
10,68.49113419569393,64.5,66.7,-1
11,,62.2,61.7,-1
12,47.228720978891694,25.0,24.5,0
13,65.89202928160434,57.1,58.7,-1
14,68.63865755836814,62.2,63.9,1
15,62.427058884468664,62.2,67.4,1
16,65.20701817818461,63.5,67.0,1
17,64.04936803436603,62.2,66.3,1
18,,61.4,67.8,1
19,66.73765036455612,62.0,64.4,1
20,64.53346459755119,63.2,67.0,1
21,,25.0,31.9,0
22,63.27776179227422,61.2,65.4,-1
23,,59.2,65.0,-1
24,58.1005860991501,55.6,60.9,-1
25,58.54003242495225,57.6,64.2,1
26,66.13104190257317,63.8,67.1,1
27,56.39435215697674,56.9,65.6,1
28,59.49329399080327,58.3,64.7,1
29,69.49837840707157,63.8,65.4,-1
30,59.22086672622042,60.2,67.4,1
31,58.62796329897626,58.6,65.8,1
32,58.95590251731203,58.8,65.7,-1
33,57.62991768117014,56.2,61.8,-1
34,,61.6,66.0,1
35,56.043804228178914,55.3,63.2,1
36,57.24319865178784,58.1,66.4,1
37,,60.9,66.3,1
38,27.638771813845832,25.0,30.8,0
39,66.80152535057172,63.0,66.0,1
40,62.19451853963527,61.7,66.9,1
41,,61.5,66.6,1
42,,54.1,61.1,-1
43,,51.5,57.8,-1
44,56.60000567628871,57.6,66.0,-1
45,,49.7,58.5,-1
46,,51.6,54.0,-1
47,58.54227923292756,59.2,66.5,-1
48,,25.0,21.9,0
49,62.98820713331966,61.6,66.4,1
50,59.30152642359956,60.0,67.1,1
51,57.117968919066556,56.4,64.4,1
52,55.361949119052426,56.4,65.5,1
53,59.396916156009596,60.0,66.9,1
54,69.53967025737846,63.4,65.2,1
55,66.14136835330844,63.7,66.8,1
56,64.9222213970784,62.4,66.0,1
57,65.0746022768213,63.0,66.6,1
58,58.20158874479788,58.3,65.5,1
59,63.105163831613076,61.9,66.6,1
60,62.417479316680314,61.1,66.2,1
61,66.99006947396188,63.8,66.5,1
62,58.18443633080117,57.4,64.5,1
63,60.68936170314308,25.0,20.6,0
64,,60.9,67.0,1
65,65.15817651676068,62.6,66.2,1
66,55.66054713051405,54.5,62.4,-1
67,,63.3,68.6,-1
68,59.97310326589385,59.3,65.6,1
69,66.26041414439547,64.0,66.9,1
70,52.273767835434406,53.1,62.7,-1
71,62.00862746919624,54.0,55.6,-1
72,48.85499243281713,49.8,58.0,-1
73,41.89733160199196,25.0,30.5,0
74,51.47589711093745,52.4,60.6,-1
75,59.56090677757204,59.8,66.6,1
76,61.83726450535734,60.7,66.0,-1
77,42.48588497003788,25.0,30.0,0
78,42.40803865549165,25.0,29.9,0
79,53.515109916370015,25.0,24.9,0
80,63.89123905135512,62.5,66.8,1
81,74.802837873907,65.6,66.7,-1
82,74.6241795113407,64.6,65.8,-1
83,34.53446877755471,25.0,30.8,0
84,82.85015598933322,58.5,57.0,-1
85,60.66077159779732,59.8,65.7,1
86,73.55063157751103,58.7,59.2,-1
87,62.024055778831276,61.5,66.9,1
88,62.854974532146414,61.9,66.7,1
89,64.42888980413301,60.6,64.4,-1
90,65.60487334840066,60.6,63.6,1
91,58.23146887911306,58.0,65.1,1
92,61.47675946751707,58.1,62.5,-1
93,62.88228962370965,62.3,67.2,1
94,61.61045380146193,58.3,63.3,-1
95,59.22116095864334,59.5,66.4,1
96,,54.4,62.0,-1
97,55.878397896041896,56.8,65.8,1
98,59.652224795546985,60.1,66.9,1
99,62.78842408529711,61.8,66.7,1
100,61.13093483149874,57.5,62.3,-1
101,55.833480996201025,53.8,58.1,-1
102,44.60487018192284,25.0,28.6,0
103,64.8537115201564,63.1,66.9,1
104,62.46580081256745,58.6,62.7,-1
105,61.72624670977708,61.4,66.9,1
106,,63.2,65.8,-1
107,67.80570775624103,63.2,65.5,-1
108,54.49963367229039,54.2,60.8,-1
109,62.78164526565093,60.1,64.6,-1
110,65.65525020266514,62.2,65.6,1
111,63.088115519105,61.1,65.8,1
112,58.6577703467476,58.6,65.5,1
113,63.1090539976906,61.5,66.0,1
114,54.85092490004306,55.4,64.8,-1
115,59.003614060496915,59.2,66.0,1
116,57.82145201976937,58.8,66.5,1
117,58.96137892992777,59.6,66.7,1
118,63.61576064609697,61.8,66.3,1
119,57.373891724589576,59.0,67.4,1
