id_parcelle,shap_slope_p50,shap_slope_p90,shap_slope_std,shap_twi_mean,shap_has_thalweg_mean,shap_profile_curvature_mean,shap_tri_mean,shap_hillshade_winter_mean,shap_aspect_south_ratio_mean,shap_svf_mean,CPI_ML_v6,CPI_v6,CPI_technique,zone_plu,compactness_ratio,elongation_ratio,shape_warning,ces_existant,ces_residuel,emprise_residuelle_m2,ces_warning,cluster_score,brgm_argiles_flag,brgm_mvt_terrain_flag,shap_groupe_SLOPE,shap_groupe_HYDROLOGY,shap_groupe_MORPHOLOGY,shap_groupe_SUNLIGHT,cpi_ml_ci_low,cpi_ml_ci_high,cpi_ml_std
73065000AB0101,-0.030640487,-1.1180761,-0.3304002,0.0,0.0,3.8211234e-05,-0.3456016,0.0065167877,0.0,0.0,0.0,25.0,23.0,inconnu,0.0564877057810548,2.625811224031657,Parcelle allongee - emprise reelle limitee,0.0,0.4,316.80000859433096,,65.50968207801343,,,-1.4791168,0.0,-0.34556338,0.0065167877,0.0,0.04714901000261307,0.015252276323735714
73065000AB0254,0.0020721056,-1.1682258,-0.39602852,0.0,0.0,-0.0052498584,-0.20580332,-0.009404767,0.0,0.0,1.0,25.0,25.3,inconnu,0.1124324402828993,1.0132077014296708,Parcelle allongee - emprise reelle limitee,0.0,0.4,1132.7231449728931,,59.770463786437766,,,-1.5621822,0.0,-0.21105318,-0.009404767,0.0,0.7611790299415588,0.18588337302207947
73065000AB0311,-0.030640487,-1.08979,-0.3353367,0.0,0.0,-0.0052498584,-0.34975785,-0.007388426,0.0,0.0,0.0,25.0,24.5,inconnu,0.5491779151473514,1.1617330664078052,,0.0,0.4,44.89434498864136,Emprise residuelle < 80m2 - constructibilite tres limitee,47.228720978891694,,,-1.4557672,0.0,-0.3550077,-0.007388426,0.0,0.0,0.0
73065000AB0273,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.2,63.9,inconnu,0.1343983400761792,1.3773763607779648,Parcelle allongee - emprise reelle limitee,0.0,0.4,607.9088810753273,,68.63865755836814,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0472,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.2,67.4,inconnu,0.6393097323122178,1.353291392908822,,0.0,0.4,220.12602845427764,,62.42705888446866,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0428,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.5,67.0,inconnu,0.5374562390366607,1.211960297880723,,0.0,0.4,128.79830979498612,,65.20701817818461,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0543,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.2,66.3,inconnu,0.6038702283384948,1.396841862919873,,0.0,0.4,91.14204111920684,,64.04936803436603,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0529,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,62.0,64.4,inconnu,0.1121875213963398,1.0325807470502213,Parcelle allongee - emprise reelle limitee,0.0,0.4,1125.6631649684616,,66.73765036455612,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0531,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.2,67.0,inconnu,0.5642677625694812,1.135901021649088,,0.0,0.4,1086.7641396208137,,64.53346459755119,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0554,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,57.6,64.2,inconnu,0.2127778223138958,1.6666577249509704,,0.0,0.4,75.13068226094222,Emprise residuelle < 80m2 - constructibilite tres limitee,58.54003242495225,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0013868671376258135
73065000AB0082,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,63.8,67.1,inconnu,0.7342086782974038,1.456979821357545,,0.0,0.4,74.61170632156397,Emprise residuelle < 80m2 - constructibilite tres limitee,66.13104190257317,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0
73065000AB0489,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,56.9,65.6,inconnu,0.2971760792328731,1.2733237987686774,,0.0,0.4,148.43888546349908,,56.39435215697674,,,1.5524521,0.0,0.2468078,-0.0020383701,99.97706604003906,100.0,0.006222754251211882
73065000AB0487,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,58.3,64.7,inconnu,0.4643280917669626,1.118947965721374,,0.0,0.4,128.65052237463627,,59.49329399080327,,,1.5524521,0.0,0.2468078,-0.0020383701,99.95256805419922,100.0,0.01241377554833889
73065000AB0488,0.006507473,1.4528097,0.09313482,0.0,0.0,0.0001137598,0.24669404,-0.0020383701,0.0,0.0,100.0,60.2,67.4,inconnu,0.7111987912027504,1.2622916652773544,,0.0,0.4,205.4387895297616,,59.22086672622042,,,1.5524521,0.0,0.2468078,-0.0020383701,100.0,100.0,0.0024109503719955683
